fecha,mes_venta,nombre_del_vendedor,nombre_del_supermercado,representante_de_compras,estado,ciudad,categoria,producto,presentacion,precio_unitario_usd,cantidad_comprada,valor_total_usd,forma_pago,tipo_producto
2024-11-21,2024-11,Lee Charlotte,The House of Flavor,McAllister Alexander,Florida,Tampa,Cremas,Crema agria,Tarrina 200g,2.5,543,1357.5,Efectivo,Crema agria
2024-06-05,2024-06,Zeller Sophie,The Little Bee,Hunter Mark,California,San Diego,Yogur,Yogur griego,Individual,1.5,743,1114.5,Tarjeta de débito,Yogur griego
2024-12-21,2024-12,Jackson George,The Family Grocer,Brown Margaret,Florida,Jacksonville,Quesos,Queso en lonchas,Paquete 200g,3.8,480,1824.0,PayPal,Queso en lonchas
2024-09-04,2024-09,Anderson James,Exquisite Foods Market,Rogers Harper,Nueva York,Yonkers,Leche,Leche condensada,Lata 397g,2.5,810,2025.0,Tarjeta de débito,Leche condensada
2024-02-08,2024-02,Jackson George,Culinary Treasures,Koch Emma,Texas,Houston,Cremas,Queso crema,Tarrina 250g,2.8,635,1778.0,Tarjeta de débito,Queso crema
2024-06-14,2024-06,Davis Olivia,The Grocery Store,McBride Evelyn,Nueva York,Yonkers,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,714,2998.8,Tarjeta de crédito,Mantequilla sin sal
2024-10-08,2024-10,Williams Chloe,Red Rose,Martinez Patricia,Texas,Houston,Leche,Leche condensada,Lata 397g,2.5,577,1442.5,Transferencia bancaria,Leche condensada
2024-02-26,2024-02,Zeller Sophie,Exquisite Foods Market,Rogers Harper,Florida,Miami,Cremas,Queso crema,Tarrina 250g,2.8,880,2464.0,Efectivo,Queso crema
2024-08-03,2024-08,Davis Olivia,Select Market,Bélanger Theodore,Massachusetts,Boston,Otros,Helado,Tarrina 500ml,4.25,891,3786.75,Transferencia bancaria,Helado
2024-03-29,2024-03,Zeller Sophie,Corner Delicatessen,Clark Eleonor,Massachusetts,Boston,Quesos,Queso mozzarella,Paquete 200g,3.75,99,371.25,Tarjeta de crédito,Queso mozzarella
2024-04-16,2024-04,Anderson James,The Little Bee,Hunter Mark,Massachusetts,Lowell,Quesos,Queso gouda,Bloque 300g,4.5,888,3996.0,Efectivo,Queso gouda
2024-12-01,2024-12,Davis Olivia,The Family Grocer,Brown Margaret,California,San Diego,Quesos,Queso havarti,Bloque 200g,5.25,828,4347.0,PayPal,Queso havarti
2024-06-18,2024-06,Zeller Sophie,The House of Flavor,McAllister Alexander,California,San Francisco,Cremas,Crema de leche,Cartón 946ml,5.99,853,5109.47,PayPal,Crema de leche
2024-04-25,2024-04,Williams Chloe,Hyper Foods,Brightman Abigail,Florida,Tampa,Cremas,Crema de leche,Cartón 946ml,5.99,246,1473.54,Tarjeta de débito,Crema de leche
2024-03-20,2024-03,Smith Noah,Hyper Foods,Brightman Abigail,California,Los Angeles,Yogur,Kumis,Botella 1L,2.5,959,2397.5,Tarjeta de débito,Kumis
2024-08-10,2024-08,Zeller Sophie,Exquisite Foods Market,Rogers Harper,Massachusetts,Worcester,Quesos,Queso gouda,Bloque 300g,4.5,980,4410.0,Efectivo,Queso gouda
2024-02-13,2024-02,Lee Charlotte,Food Emporium,Iacoca William,Massachusetts,Springfield,Leche,Leche entera,Individual,0.75,627,470.25,Transferencia bancaria,Leche entera
2024-08-24,2024-08,Smith Noah,The Family Grocer,Brown Margaret,Florida,Orlando,Yogur,Yogur con frutas,Individual,1.2,453,543.6,Tarjeta de crédito,Yogur con frutas
2024-08-09,2024-08,Williams Chloe,Sky Blue Market,Taylor Jacob,Florida,Jacksonville,Cremas,Crema batida,Spray 250ml,3.75,805,3018.75,Transferencia bancaria,Crema batida
2024-09-07,2024-09,Williams Chloe,The Pantry,Wilson Ethan,California,San Francisco,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,504,2016.0,PayPal,Mantequilla con sal
2024-11-20,2024-11,Williams Chloe,The House of Flavor,McAllister Alexander,Nueva York,New York City,Quesos,Queso edam,Bloque 300g,4.75,444,2109.0,Tarjeta de débito,Queso edam
2024-08-09,2024-08,Lee Charlotte,Culinary Treasures,Koch Emma,Texas,Austin,Quesos,Queso brie,Cuña 200g,6.0,328,1968.0,Tarjeta de crédito,Queso brie
2024-02-16,2024-02,Jackson George,Super Saber,Lee Lucas,Nueva York,Rochester,Otros,Suero de leche,Botella 1L,2.0,627,1254.0,Tarjeta de crédito,Suero de leche
2024-06-25,2024-06,Lee Charlotte,Exquisite Foods Market,Rogers Harper,California,San Diego,Leche,Bebidas lácteas,Botella 500ml,1.2,687,824.4,Transferencia bancaria,Bebidas lácteas
2024-08-10,2024-08,Lee Charlotte,The Family Grocer,Brown Margaret,Florida,Tampa,Leche,Leche saborizada,Individual,1.0,883,883.0,PayPal,Leche saborizada
2024-08-30,2024-08,Anderson James,The Food Barn,Tremblay Ana,Texas,Houston,Yogur,Yogur griego,Individual,1.5,75,112.5,Tarjeta de crédito,Yogur griego
2024-10-05,2024-10,Lee Charlotte,Pekos Foods,Dubbois Frank,Florida,Jacksonville,Quesos,Queso brie,Cuña 200g,6.0,656,3936.0,Tarjeta de crédito,Queso brie
2024-10-20,2024-10,Lee Charlotte,Pekos Foods,Dubbois Frank,Florida,Tampa,Leche,Leche saborizada,Individual,1.0,349,349.0,Efectivo,Leche saborizada
2024-06-14,2024-06,Davis Olivia,The Grocery Store,McBride Evelyn,Nueva York,New York City,Quesos,Queso cheddar añejo,Bloque 300g,5.0,132,660.0,Tarjeta de crédito,Queso cheddar añejo
2024-01-21,2024-01,Anderson James,My Market,Johnson Alice,Florida,Tampa,Leche,Leche deslactosada,Individual,0.85,942,800.7,Tarjeta de crédito,Leche deslactosada
2024-09-30,2024-09,Davis Olivia,Hyper Foods,Brightman Abigail,Texas,Austin,Yogur,Yogur natural,Familiar 1L,3.5,201,703.5,Transferencia bancaria,Yogur natural
2024-10-08,2024-10,Zeller Sophie,Hyper Foods,Brightman Abigail,Florida,Miami,Otros,Dulce de leche,Frasco 250g,3.0,107,321.0,Tarjeta de crédito,Dulce de leche
2024-08-08,2024-08,Lee Charlotte,Red Rose,Martinez Patricia,Florida,Orlando,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,979,3916.0,Transferencia bancaria,Mantequilla con sal
2024-03-25,2024-03,Zeller Sophie,Town Market,Gagnon James,Florida,Tampa,Leche,Leche deslactosada,Individual,0.85,385,327.25,Tarjeta de débito,Leche deslactosada
2024-08-15,2024-08,Zeller Sophie,Pekos Foods,Dubbois Frank,Nueva York,Buffalo,Cremas,Queso crema,Tarrina 250g,2.8,419,1173.2,Tarjeta de débito,Queso crema
2024-12-02,2024-12,Zeller Sophie,The Pantry,Wilson Ethan,California,Los Angeles,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,33,132.0,Tarjeta de crédito,Mantequilla con sal
2024-09-11,2024-09,Smith Noah,Select Market,Bélanger Theodore,California,Los Angeles,Otros,Suero de leche,Botella 1L,2.0,704,1408.0,PayPal,Suero de leche
2024-04-26,2024-04,Williams Chloe,Culinary Treasures,Koch Emma,California,San Jose,Otros,Cuajada,Envase 250g,2.2,427,939.4,Transferencia bancaria,Cuajada
2024-05-19,2024-05,Williams Chloe,Exquisite Foods Market,Rogers Harper,Texas,Dallas,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,53,222.6,Tarjeta de crédito,Mantequilla sin sal
2024-07-20,2024-07,Davis Olivia,Super Saber,Lee Lucas,Florida,Miami,Yogur,Yogur griego,Individual,1.5,658,987.0,Tarjeta de débito,Yogur griego
2024-04-04,2024-04,Lee Charlotte,Corner Delicatessen,Clark Eleonor,Massachusetts,Lowell,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,798,3351.6,Tarjeta de débito,Mantequilla sin sal
2024-04-29,2024-04,Zeller Sophie,The Family Grocer,Brown Margaret,Massachusetts,Boston,Leche,Leche entera,Litro,1.25,526,657.5,Efectivo,Leche entera
2024-12-04,2024-12,Zeller Sophie,Exquisite Foods Market,Rogers Harper,Massachusetts,Lowell,Yogur,Yogur griego,Individual,1.5,242,363.0,Efectivo,Yogur griego
2024-09-16,2024-09,Smith Noah,Central Supermarket,Smith Patricia,Massachusetts,Worcester,Leche,Leche condensada,Lata 397g,2.5,404,1010.0,Tarjeta de crédito,Leche condensada
2024-01-11,2024-01,Smith Noah,Culinary Treasures,Koch Emma,Florida,Jacksonville,Cremas,Queso crema,Tarrina 250g,2.8,173,484.4,Efectivo,Queso crema
2024-09-27,2024-09,Williams Chloe,My Market,Johnson Alice,California,San Diego,Cremas,Crema de leche,Cartón 946ml,5.99,824,4935.76,Transferencia bancaria,Crema de leche
2024-09-28,2024-09,Lee Charlotte,My Market,Johnson Alice,Massachusetts,Boston,Yogur,Yogur con frutas,Individual,1.2,451,541.2,PayPal,Yogur con frutas
2024-01-30,2024-01,Lee Charlotte,Corner Delicatessen,Clark Eleonor,California,San Francisco,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,188,752.0,Tarjeta de crédito,Mantequilla con sal
2024-02-25,2024-02,Smith Noah,Pekos Foods,Dubbois Frank,Texas,Dallas,Yogur,Kumis,Botella 1L,2.5,870,2175.0,PayPal,Kumis
2024-10-22,2024-10,Smith Noah,Food Emporium,Iacoca William,Nueva York,Rochester,Leche,Leche descremada,Litro,1.15,52,59.8,Transferencia bancaria,Leche descremada
2024-11-26,2024-11,Anderson James,The Family Grocer,Brown Margaret,Nueva York,Buffalo,Quesos,Queso camembert,Cuña 200g,6.0,682,4092.0,Tarjeta de crédito,Queso camembert
2024-03-07,2024-03,Williams Chloe,The Food Barn,Tremblay Ana,Nueva York,Buffalo,Otros,Dulce de leche,Frasco 250g,3.0,75,225.0,Transferencia bancaria,Dulce de leche
2024-01-14,2024-01,Anderson James,The Little Bee,Hunter Mark,Texas,Austin,Quesos,Queso havarti,Bloque 200g,5.25,381,2000.25,Efectivo,Queso havarti
2024-05-23,2024-05,Lee Charlotte,Culinary Treasures,Koch Emma,California,San Diego,Cremas,Crema de leche,Cartón 946ml,5.99,830,4971.7,Transferencia bancaria,Crema de leche
2024-07-11,2024-07,Anderson James,Select Market,Bélanger Theodore,Florida,Orlando,Yogur,Yogur griego,Individual,1.5,873,1309.5,Tarjeta de débito,Yogur griego
2024-05-19,2024-05,Smith Noah,The Pantry,Wilson Ethan,Texas,Houston,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,949,5456.75,PayPal,Mantequilla clarificada (ghee)
2024-04-07,2024-04,Lee Charlotte,Super Saber,Lee Lucas,California,San Jose,Otros,Helado,Barra individual,1.5,965,1447.5,Efectivo,Helado
2024-09-25,2024-09,Zeller Sophie,The Little Bee,Hunter Mark,Florida,Miami,Otros,Dulce de leche,Frasco 250g,3.0,630,1890.0,Tarjeta de débito,Dulce de leche
2024-02-22,2024-02,Jackson George,Central Supermarket,Smith Patricia,Nueva York,Rochester,Leche,Leche descremada,Individual,0.65,486,315.9,Transferencia bancaria,Leche descremada
2024-10-16,2024-10,Smith Noah,The Little Bee,Hunter Mark,Texas,Dallas,Cremas,Crema agria,Tarrina 200g,2.5,708,1770.0,Tarjeta de débito,Crema agria
2024-05-07,2024-05,Lee Charlotte,Super Everything,Fraser Michael,California,San Jose,Quesos,Queso gruyere,Bloque 300g,5.5,557,3063.5,Tarjeta de crédito,Queso gruyere
2024-05-02,2024-05,Davis Olivia,The Family Grocer,Brown Margaret,Massachusetts,Worcester,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,221,884.0,Transferencia bancaria,Mantequilla con sal
2024-12-06,2024-12,Williams Chloe,The Grocery Store,McBride Evelyn,Nueva York,Rochester,Quesos,Queso para untar,Tarrina 250g,3.2,72,230.4,Tarjeta de crédito,Queso para untar
2024-06-01,2024-06,Smith Noah,The Family Grocer,Brown Margaret,California,Los Angeles,Quesos,Queso edam,Bloque 300g,4.75,162,769.5,PayPal,Queso edam
2024-04-23,2024-04,Williams Chloe,The Grocery Store,McBride Evelyn,Texas,Austin,Otros,Helado,Barra individual,1.5,800,1200.0,PayPal,Helado
2024-11-13,2024-11,Williams Chloe,Corner Delicatessen,Clark Eleonor,California,San Jose,Yogur,Yogur natural,Familiar 1L,3.5,938,3283.0,Efectivo,Yogur natural
2024-02-02,2024-02,Williams Chloe,Select Market,Bélanger Theodore,Nueva York,Rochester,Leche,Leche semidescremada,Litro,1.2,922,1106.4,Efectivo,Leche semidescremada
2024-05-06,2024-05,Anderson James,The Grocery Store,McBride Evelyn,Nueva York,Yonkers,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,255,1071.0,Efectivo,Mantequilla sin sal
2024-04-27,2024-04,Anderson James,Sky Blue Market,Taylor Jacob,Nueva York,Rochester,Yogur,Kumis,Botella 1L,2.5,743,1857.5,PayPal,Kumis
2024-02-13,2024-02,Zeller Sophie,Red Rose,Martinez Patricia,California,San Jose,Otros,Suero de leche,Botella 1L,2.0,399,798.0,Tarjeta de débito,Suero de leche
2024-02-29,2024-02,Jackson George,Culinary Treasures,Koch Emma,Massachusetts,Springfield,Otros,Helado,Tarrina 500ml,4.25,56,238.0,Efectivo,Helado
2024-07-22,2024-07,Smith Noah,Pekos Foods,Dubbois Frank,Nueva York,Buffalo,Cremas,Crema batida,Spray 250ml,3.75,853,3198.75,Transferencia bancaria,Crema batida
2024-10-18,2024-10,Davis Olivia,Culinary Treasures,Koch Emma,California,San Francisco,Otros,Suero de leche,Botella 1L,2.0,413,826.0,Tarjeta de crédito,Suero de leche
2024-07-19,2024-07,Zeller Sophie,Select Market,Bélanger Theodore,Florida,Miami,Leche,Leche deslactosada,Litro,1.3,981,1275.3,Tarjeta de crédito,Leche deslactosada
2024-10-06,2024-10,Lee Charlotte,The Little Bee,Hunter Mark,Florida,Tampa,Otros,Cuajada,Envase 250g,2.2,98,215.6,Efectivo,Cuajada
2024-09-09,2024-09,Anderson James,The Grocery Store,McBride Evelyn,Massachusetts,Springfield,Leche,Leche descremada,Litro,1.15,285,327.75,Transferencia bancaria,Leche descremada
2024-06-22,2024-06,Anderson James,Super Saber,Lee Lucas,Massachusetts,Worcester,Leche,Leche descremada,Individual,0.65,786,510.9,Tarjeta de débito,Leche descremada
2024-10-06,2024-10,Williams Chloe,Hyper Foods,Brightman Abigail,Texas,San Antonio,Leche,Leche evaporada,Lata 354ml,2.3,109,250.7,Transferencia bancaria,Leche evaporada
2024-08-19,2024-08,Jackson George,Culinary Treasures,Koch Emma,Nueva York,Rochester,Quesos,Queso blanco,Bloque 500g,5.0,976,4880.0,Transferencia bancaria,Queso blanco
2024-07-08,2024-07,Davis Olivia,Hyper Foods,Brightman Abigail,Massachusetts,Springfield,Leche,Leche descremada,Litro,1.15,989,1137.35,PayPal,Leche descremada
2024-08-09,2024-08,Zeller Sophie,Sky Blue Market,Taylor Jacob,Massachusetts,Lowell,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,13,54.6,Transferencia bancaria,Mantequilla sin sal
2024-06-19,2024-06,Smith Noah,The Little Bee,Hunter Mark,California,Los Angeles,Yogur,Yogur con frutas,Individual,1.2,592,710.4,Tarjeta de crédito,Yogur con frutas
2024-08-03,2024-08,Lee Charlotte,Exquisite Foods Market,Rogers Harper,California,Los Angeles,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,203,812.0,Efectivo,Mantequilla con sal
2024-05-24,2024-05,Davis Olivia,Red Rose,Martinez Patricia,Nueva York,Yonkers,Otros,Suero de leche,Botella 1L,2.0,218,436.0,Transferencia bancaria,Suero de leche
2024-01-16,2024-01,Zeller Sophie,Exquisite Foods Market,Rogers Harper,Texas,Austin,Quesos,Queso gruyere,Bloque 300g,5.5,839,4614.5,Efectivo,Queso gruyere
2024-08-01,2024-08,Zeller Sophie,Hyper Foods,Brightman Abigail,Nueva York,Yonkers,Otros,Cuajada,Envase 250g,2.2,237,521.4,Efectivo,Cuajada
2024-10-01,2024-10,Davis Olivia,The Grocery Store,McBride Evelyn,California,San Francisco,Quesos,Queso en lonchas,Paquete 200g,3.8,882,3351.6,Efectivo,Queso en lonchas
2024-08-06,2024-08,Anderson James,Super Everything,Fraser Michael,Massachusetts,Boston,Otros,Helado,Tarrina 500ml,4.25,396,1683.0,PayPal,Helado
2024-04-28,2024-04,Williams Chloe,Red Rose,Martinez Patricia,Florida,Orlando,Leche,Leche saborizada,Individual,1.0,246,246.0,PayPal,Leche saborizada
2024-04-17,2024-04,Williams Chloe,The House of Flavor,McAllister Alexander,Texas,Austin,Otros,Helado,Tarrina 500ml,4.25,961,4084.25,Transferencia bancaria,Helado
2024-02-29,2024-02,Jackson George,Culinary Treasures,Koch Emma,Nueva York,New York City,Otros,Cuajada,Envase 250g,2.2,703,1546.6,Tarjeta de débito,Cuajada
2024-08-30,2024-08,Anderson James,Red Rose,Martinez Patricia,Massachusetts,Worcester,Quesos,Queso en lonchas,Paquete 200g,3.8,242,919.6,Tarjeta de débito,Queso en lonchas
2024-03-24,2024-03,Anderson James,The Grocery Store,McBride Evelyn,Texas,Austin,Quesos,Queso havarti,Bloque 200g,5.25,98,514.5,PayPal,Queso havarti
2024-05-03,2024-05,Lee Charlotte,Food Emporium,Iacoca William,California,San Francisco,Yogur,Yogur natural,Individual,1.0,56,56.0,Transferencia bancaria,Yogur natural
2024-06-06,2024-06,Zeller Sophie,Super Saber,Lee Lucas,Massachusetts,Springfield,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,660,2772.0,Tarjeta de débito,Mantequilla sin sal
2024-10-16,2024-10,Williams Chloe,My Market,Johnson Alice,Massachusetts,Springfield,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,856,3595.2,Efectivo,Mantequilla sin sal
2024-10-15,2024-10,Zeller Sophie,Select Market,Bélanger Theodore,Nueva York,Buffalo,Quesos,Queso camembert,Cuña 200g,6.0,254,1524.0,Efectivo,Queso camembert
2024-08-17,2024-08,Anderson James,Red Rose,Martinez Patricia,Florida,Jacksonville,Yogur,Yogur con frutas,Individual,1.2,771,925.2,Efectivo,Yogur con frutas
2024-07-02,2024-07,Anderson James,Pekos Foods,Dubbois Frank,Nueva York,Buffalo,Otros,Helado,Barra individual,1.5,760,1140.0,Efectivo,Helado
2024-05-21,2024-05,Smith Noah,Super Everything,Fraser Michael,Texas,Dallas,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,462,2656.5,PayPal,Mantequilla clarificada (ghee)
2024-10-23,2024-10,Smith Noah,My Market,Johnson Alice,Nueva York,New York City,Quesos,Queso para untar,Tarrina 250g,3.2,374,1196.8,Tarjeta de crédito,Queso para untar
2024-12-12,2024-12,Smith Noah,The Little Bee,Hunter Mark,Texas,Austin,Leche,Leche condensada,Lata 397g,2.5,324,810.0,Efectivo,Leche condensada
2024-08-30,2024-08,Jackson George,Food Emporium,Iacoca William,California,San Jose,Leche,Leche deslactosada,Litro,1.3,945,1228.5,Tarjeta de débito,Leche deslactosada
2024-11-17,2024-11,Lee Charlotte,Exquisite Foods Market,Rogers Harper,Texas,Houston,Otros,Dulce de leche,Frasco 250g,3.0,428,1284.0,Transferencia bancaria,Dulce de leche
2024-12-02,2024-12,Zeller Sophie,Food Emporium,Iacoca William,California,San Diego,Cremas,Crema batida,Spray 250ml,3.75,187,701.25,Transferencia bancaria,Crema batida
2024-02-04,2024-02,Davis Olivia,Culinary Treasures,Koch Emma,California,San Diego,Quesos,Queso havarti,Bloque 200g,5.25,133,698.25,Tarjeta de débito,Queso havarti
2024-05-10,2024-05,Davis Olivia,Pekos Foods,Dubbois Frank,Florida,Tampa,Cremas,Crema de leche,Cartón 946ml,5.99,618,3701.82,PayPal,Crema de leche
2024-04-29,2024-04,Williams Chloe,The Pantry,Wilson Ethan,Florida,Tampa,Leche,Leche condensada,Lata 397g,2.5,629,1572.5,Tarjeta de crédito,Leche condensada
2024-10-04,2024-10,Lee Charlotte,The Pantry,Wilson Ethan,Nueva York,Rochester,Otros,Dulce de leche,Frasco 250g,3.0,332,996.0,Efectivo,Dulce de leche
2024-01-21,2024-01,Anderson James,Red Rose,Martinez Patricia,Texas,Houston,Cremas,Crema batida,Spray 250ml,3.75,376,1410.0,Tarjeta de crédito,Crema batida
2024-05-24,2024-05,Lee Charlotte,The Grocery Store,McBride Evelyn,Florida,Jacksonville,Otros,Suero de leche,Botella 1L,2.0,607,1214.0,Efectivo,Suero de leche
2024-02-20,2024-02,Jackson George,Super Everything,Fraser Michael,Nueva York,Yonkers,Leche,Leche semidescremada,Individual,0.7,871,609.7,Efectivo,Leche semidescremada
2024-07-06,2024-07,Smith Noah,My Market,Johnson Alice,Florida,Tampa,Quesos,Queso en lonchas,Paquete 200g,3.8,384,1459.2,PayPal,Queso en lonchas
2024-12-30,2024-12,Williams Chloe,Sky Blue Market,Taylor Jacob,Massachusetts,Worcester,Quesos,Queso mozzarella,Paquete 200g,3.75,447,1676.25,Tarjeta de crédito,Queso mozzarella
2024-09-05,2024-09,Anderson James,Town Market,Gagnon James,California,San Francisco,Quesos,Queso ricota,Envase 250g,4.0,545,2180.0,Tarjeta de crédito,Queso ricota
2024-07-27,2024-07,Anderson James,Select Market,Bélanger Theodore,Texas,Dallas,Leche,Bebidas lácteas,Botella 500ml,1.2,593,711.6,PayPal,Bebidas lácteas
2024-12-17,2024-12,Lee Charlotte,My Market,Johnson Alice,Massachusetts,Worcester,Leche,Leche condensada,Lata 397g,2.5,207,517.5,Tarjeta de crédito,Leche condensada
2024-03-19,2024-03,Smith Noah,Town Market,Gagnon James,Massachusetts,Lowell,Yogur,Yogur griego,Individual,1.5,633,949.5,Transferencia bancaria,Yogur griego
2024-05-28,2024-05,Zeller Sophie,Central Supermarket,Smith Patricia,Florida,Orlando,Quesos,Queso azul gorgonzola,Cuña 150g,6.0,422,2532.0,Transferencia bancaria,Queso azul gorgonzola
2024-10-12,2024-10,Smith Noah,Super Saber,Lee Lucas,California,San Jose,Cremas,Crema agria,Tarrina 200g,2.5,442,1105.0,Transferencia bancaria,Crema agria
2024-06-30,2024-06,Anderson James,The Grocery Store,McBride Evelyn,Texas,Austin,Cremas,Crema agria,Tarrina 200g,2.5,756,1890.0,Efectivo,Crema agria
2024-04-19,2024-04,Zeller Sophie,The Food Barn,Tremblay Ana,Massachusetts,Lowell,Leche,Leche semidescremada,Individual,0.7,273,191.1,Efectivo,Leche semidescremada
2024-08-16,2024-08,Zeller Sophie,The Little Bee,Hunter Mark,Nueva York,Rochester,Cremas,Queso crema,Tarrina 250g,2.8,823,2304.4,PayPal,Queso crema
2024-08-07,2024-08,Williams Chloe,The Little Bee,Hunter Mark,Massachusetts,Springfield,Yogur,Yogur con frutas,Individual,1.2,940,1128.0,Efectivo,Yogur con frutas
2024-12-22,2024-12,Davis Olivia,Super Saber,Lee Lucas,California,San Diego,Otros,Dulce de leche,Frasco 250g,3.0,337,1011.0,Tarjeta de débito,Dulce de leche
2024-09-20,2024-09,Lee Charlotte,Hyper Foods,Brightman Abigail,Florida,Orlando,Cremas,Crema batida,Spray 250ml,3.75,717,2688.75,PayPal,Crema batida
2024-04-06,2024-04,Williams Chloe,Sky Blue Market,Taylor Jacob,Florida,Miami,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,863,3452.0,Tarjeta de débito,Mantequilla con sal
2024-10-14,2024-10,Smith Noah,Town Market,Gagnon James,Florida,Jacksonville,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,447,2570.25,Tarjeta de crédito,Mantequilla clarificada (ghee)
2024-02-28,2024-02,Williams Chloe,Pekos Foods,Dubbois Frank,Florida,Tampa,Otros,Suero de leche,Botella 1L,2.0,86,172.0,Tarjeta de débito,Suero de leche
2024-03-15,2024-03,Lee Charlotte,Town Market,Gagnon James,California,San Jose,Otros,Cuajada,Envase 250g,2.2,74,162.8,Tarjeta de débito,Cuajada
2024-06-10,2024-06,Jackson George,The Pantry,Wilson Ethan,Texas,Dallas,Otros,Helado,Tarrina 500ml,4.25,629,2673.25,Tarjeta de débito,Helado
2024-01-22,2024-01,Zeller Sophie,Food Emporium,Iacoca William,Nueva York,Buffalo,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,182,764.4,Tarjeta de crédito,Mantequilla sin sal
2024-02-04,2024-02,Davis Olivia,Exquisite Foods Market,Rogers Harper,Florida,Jacksonville,Otros,Suero de leche,Botella 1L,2.0,164,328.0,Efectivo,Suero de leche
2024-06-02,2024-06,Davis Olivia,The Pantry,Wilson Ethan,Massachusetts,Worcester,Yogur,Kumis,Botella 1L,2.5,177,442.5,Efectivo,Kumis
2024-03-19,2024-03,Smith Noah,The Grocery Store,McBride Evelyn,Florida,Jacksonville,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,25,100.0,Efectivo,Mantequilla con sal
2024-06-07,2024-06,Jackson George,The Food Barn,Tremblay Ana,Nueva York,New York City,Quesos,Queso havarti,Bloque 200g,5.25,128,672.0,Efectivo,Queso havarti
2024-06-07,2024-06,Zeller Sophie,My Market,Johnson Alice,Nueva York,Buffalo,Cremas,Crema de leche,Cartón 946ml,5.99,276,1653.24,Tarjeta de crédito,Crema de leche
2024-10-24,2024-10,Davis Olivia,Super Everything,Fraser Michael,Texas,Dallas,Yogur,Yogur natural,Individual,1.0,252,252.0,Tarjeta de crédito,Yogur natural
2024-01-10,2024-01,Anderson James,Select Market,Bélanger Theodore,Florida,Jacksonville,Quesos,Queso gruyere,Bloque 300g,5.5,976,5368.0,Tarjeta de crédito,Queso gruyere
2024-09-15,2024-09,Smith Noah,Sky Blue Market,Taylor Jacob,Texas,Houston,Quesos,Queso ricota,Envase 250g,4.0,185,740.0,PayPal,Queso ricota
2024-12-16,2024-12,Zeller Sophie,The Little Bee,Hunter Mark,California,San Jose,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,387,2225.25,Tarjeta de crédito,Mantequilla clarificada (ghee)
2024-05-25,2024-05,Lee Charlotte,Select Market,Bélanger Theodore,Nueva York,Yonkers,Quesos,Queso gouda,Bloque 300g,4.5,716,3222.0,Tarjeta de débito,Queso gouda
2024-12-12,2024-12,Davis Olivia,The House of Flavor,McAllister Alexander,Florida,Miami,Yogur,Kumis,Botella 1L,2.5,143,357.5,PayPal,Kumis
2024-07-12,2024-07,Jackson George,Select Market,Bélanger Theodore,Massachusetts,Worcester,Leche,Leche evaporada,Lata 354ml,2.3,723,1662.9,Transferencia bancaria,Leche evaporada
2024-02-10,2024-02,Smith Noah,Super Saber,Lee Lucas,Florida,Jacksonville,Yogur,Yogur natural,Familiar 1L,3.5,716,2506.0,Tarjeta de débito,Yogur natural
2024-12-22,2024-12,Smith Noah,Corner Delicatessen,Clark Eleonor,Nueva York,Buffalo,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,867,4985.25,Efectivo,Mantequilla clarificada (ghee)
2024-07-13,2024-07,Anderson James,Sky Blue Market,Taylor Jacob,Texas,Houston,Yogur,Yogur griego,Individual,1.5,865,1297.5,Efectivo,Yogur griego
2024-04-26,2024-04,Davis Olivia,The House of Flavor,McAllister Alexander,Texas,San Antonio,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,629,2516.0,Efectivo,Mantequilla con sal
2024-02-13,2024-02,Anderson James,Central Supermarket,Smith Patricia,Nueva York,Rochester,Yogur,Yogur natural,Familiar 1L,3.5,619,2166.5,Tarjeta de crédito,Yogur natural
2024-02-23,2024-02,Lee Charlotte,Sky Blue Market,Taylor Jacob,California,San Jose,Otros,Helado,Tarrina 500ml,4.25,11,46.75,Tarjeta de crédito,Helado
2024-08-24,2024-08,Smith Noah,Town Market,Gagnon James,Florida,Orlando,Cremas,Crema agria,Tarrina 200g,2.5,602,1505.0,Efectivo,Crema agria
